,post_id,lat,lon
0,7043852389,40.706367,-74.01566
1,7043879172,40.751654,-73.999723
2,7043882068,40.726958,-74.003445
3,7043897638,40.7571,-73.9657
4,7043924975,40.681221,-73.980463
5,7043980000,40.73761,-73.97379
6,7043989596,40.7627,-73.9149
7,7044001918,40.7056,-74.0083
8,7044022802,40.636322,-74.143254
9,7044023655,40.636322,-74.143254
10,7044113902,40.720633,-73.963028
11,7044125981,40.717123,-74.004573
12,7044215489,40.671149,-73.959376
13,7044455849,40.671112,-73.978061
14,7044485801,40.724863,-73.984403
15,7044501102,40.691812,-73.955939
16,7044503803,40.7339,-74.0054
17,7044520056,40.683269,-73.950155
18,7044732392,40.714866,-74.00806
19,7044760395,40.715775,-74.00344
20,7044816195,40.70555,-74.009532
21,7044823502,40.679,-73.9644
22,7044830518,40.6907,-73.9274
23,7044873002,40.744644,-73.95768
24,7044877007,40.663834,-73.994516
25,7044879045,40.663834,-73.994516
26,7044880223,40.653978,-73.952824
27,7044901812,40.713509,-73.967323
28,7044937225,40.767226,-73.984083
29,7044943409,40.7339,-74.0054
30,7044969128,40.7763,-73.9529
31,7045130079,40.7918,-73.9447
32,7045135781,40.698871,-73.992345
33,7045150867,40.77793,-73.94566
34,7045181787,40.706658,-73.938863
35,7045246017,40.746405,-73.892627
36,7045319974,40.671124,-73.959022
37,7045366093,40.7056,-74.0083
38,7045383897,40.7764,-73.9827
39,7045427028,40.7685,-73.9588
40,7045427530,40.7764,-73.9827
41,7045446070,40.7339,-74.0054
42,7045477658,40.78005,-73.945395
43,7045494483,40.671465,-73.960091
44,7045534748,40.738934,-74.00883
45,7045535902,40.77037,-73.99219
46,7045595794,40.75694,-73.964196
47,7045661826,40.751654,-73.999723
48,7045705206,40.766636,-73.986192
49,7045908465,40.683969,-73.973179
50,7045911670,40.7443,-73.9781
51,7046039447,40.682054,-73.981683
52,7046057300,40.682016,-73.981855
53,7046068200,40.749799,-73.978475
54,7046076041,40.65415,-73.94993
55,7046104112,40.7454,-73.9575
56,7046142343,40.689738,-73.992038
57,7046193222,40.645309,-73.961326
58,7046251520,40.9927,-73.7995
59,7046280729,40.679,-73.9644
60,7046290378,40.671092,-73.959108
61,7046587986,40.78018,-73.94458
62,7046589602,40.751736,-73.96938
63,7046589890,40.738934,-74.00883
64,7046591156,40.760063,-73.97063
65,7046591184,40.76016,-73.970115
66,7046601816,40.732816,-73.981941
67,7046608577,40.7597,-73.9918
68,7046609090,40.7597,-73.9918
69,7046803646,40.744337,-73.974214
70,7046830288,40.782562,-73.97843
71,7046838352,40.795252,-73.97321
72,7046855140,40.716728,-73.958913
73,7046860096,40.694,-73.9903
74,7046906843,40.77037,-73.99219
75,7046913088,40.709934,-73.968605
76,7046938692,40.705516,-73.938073
77,7046954591,40.763674,-73.993843
78,7046978079,40.936044,-73.902845
79,7046981783,40.7484,-73.9967
80,7046986424,40.772999,-73.989508
81,7047012315,40.772885,-73.989551
82,7047080466,40.7402,-73.9996
83,7047111083,40.738934,-74.00883
84,7047116959,40.7262,-73.9796
85,7047142978,40.718158,-73.997931
86,7047144545,40.731836,-74.005107
87,7047150783,40.740115,-73.982211
88,7047327697,40.726958,-74.003445
89,7047345511,40.724863,-73.984403
90,7047441674,40.7339,-74.0054
91,7047576481,40.71719,-74.012894
92,7047594413,40.679,-73.9644
93,7047595699,40.6907,-73.9274
94,7047610361,40.748323,-73.940177
95,7047754053,40.745891,-73.954983
96,7047765911,40.72089,-73.98521
97,7047831605,40.767226,-73.984083
98,7047842702,40.683269,-73.950155
99,7047853614,40.7221,-74.0469
100,7047882630,40.707735,-74.007617
101,7047985051,40.755157,-73.96863
102,7048010842,40.777787,-73.988575
103,7048013308,40.705511,-73.93728
104,7048016988,40.671222,-73.95943
105,7048049288,40.972596,-73.717933
106,7048054483,40.712993,-73.941121
107,7048057084,40.744644,-73.95768
108,7048121647,40.7571,-73.9657
109,7048121677,40.7571,-73.9657
110,7048121788,40.748135,-73.973157
111,7048132290,40.7975,-73.9683
112,7048144375,40.77793,-73.94566
113,7048231867,40.7627,-73.9149
114,7048263409,40.778559,-73.947644
115,7048275246,40.679,-73.9644
116,7048314301,40.71488,-73.95446
117,7048329290,40.746655,-73.970514
118,7048379133,40.752646,-73.971182
119,7048386812,40.747458,-73.941458
120,7048428110,40.7764,-73.9827
121,7048428715,40.7764,-73.9827
122,7048429713,40.690752,-73.98374
123,7048506776,40.787277,-73.943482
124,7048520407,40.769362,-73.990516
125,7048543467,40.676807,-73.955749
126,7048566278,40.818802,-73.956023
127,7048568705,40.818802,-73.956023
128,7048583998,40.687782,-73.97837
129,7048591072,40.725867,-73.859848
130,7048600958,40.755175,-73.881514
131,7048602538,40.701288,-73.804848
132,7048638697,40.77793,-73.94566
133,7048644128,40.6669,-73.9828
134,7048672610,40.671849,-73.962493
135,7048708449,40.746655,-73.970514
136,7048741617,40.7454,-73.9575
137,7048758717,40.7454,-73.9575
138,7048859885,40.704856,-73.933808
139,7048881283,40.746655,-73.970514
140,7048941762,40.7816,-73.9511
141,7048983082,40.76664,-73.98735
